Campaign,Ad Group,Max CPC,Ad Group Status
Search - Core Local,Car Rental Hubli,25,Paused
Search - Core Local,Taxi & Cab Hubli,25,Paused
Search - Core Local,Travels Hubli,22,Paused
Search - Airport,Airport Taxi HBX,22,Paused
Search - Outstation Routes,Route - Goa,22,Paused
Search - Outstation Routes,Route - Bangalore,22,Paused
Search - Outstation Routes,Route - Dandeli,22,Paused
Search - Outstation Routes,Route - Gokarna,22,Paused
Search - Outstation Routes,Route - Belgaum,22,Paused
Search - Vehicles,Tempo Traveller & Group,22,Paused
