Campaign,Ad Group,Negative Keyword,Match Type
Search - Core Local,Car Rental Hubli,airport,Phrase
Search - Core Local,Car Rental Hubli,tempo traveller,Phrase
Search - Core Local,Car Rental Hubli,mini bus,Phrase
Search - Core Local,Car Rental Hubli,urbania,Phrase
Search - Core Local,Car Rental Hubli,to goa,Phrase
Search - Core Local,Car Rental Hubli,to bangalore,Phrase
Search - Core Local,Car Rental Hubli,to dandeli,Phrase
Search - Core Local,Car Rental Hubli,to gokarna,Phrase
Search - Core Local,Car Rental Hubli,to belgaum,Phrase
Search - Core Local,Car Rental Hubli,outstation,Phrase
Search - Core Local,Taxi & Cab Hubli,airport,Phrase
Search - Core Local,Taxi & Cab Hubli,tempo traveller,Phrase
Search - Core Local,Taxi & Cab Hubli,mini bus,Phrase
Search - Core Local,Taxi & Cab Hubli,urbania,Phrase
Search - Core Local,Taxi & Cab Hubli,to goa,Phrase
Search - Core Local,Taxi & Cab Hubli,to bangalore,Phrase
Search - Core Local,Taxi & Cab Hubli,to dandeli,Phrase
Search - Core Local,Taxi & Cab Hubli,to gokarna,Phrase
Search - Core Local,Taxi & Cab Hubli,to belgaum,Phrase
Search - Core Local,Taxi & Cab Hubli,outstation,Phrase
Search - Core Local,Travels Hubli,airport,Phrase
Search - Core Local,Travels Hubli,tempo traveller,Phrase
Search - Core Local,Travels Hubli,mini bus,Phrase
Search - Core Local,Travels Hubli,urbania,Phrase
Search - Core Local,Travels Hubli,to goa,Phrase
Search - Core Local,Travels Hubli,to bangalore,Phrase
Search - Core Local,Travels Hubli,to dandeli,Phrase
Search - Core Local,Travels Hubli,to gokarna,Phrase
Search - Core Local,Travels Hubli,to belgaum,Phrase
Search - Core Local,Travels Hubli,outstation,Phrase
Search - Outstation Routes,Route - Goa,airport,Phrase
Search - Outstation Routes,Route - Goa,tempo traveller,Phrase
Search - Outstation Routes,Route - Bangalore,airport,Phrase
Search - Outstation Routes,Route - Bangalore,tempo traveller,Phrase
Search - Outstation Routes,Route - Dandeli,airport,Phrase
Search - Outstation Routes,Route - Dandeli,tempo traveller,Phrase
Search - Outstation Routes,Route - Gokarna,airport,Phrase
Search - Outstation Routes,Route - Gokarna,tempo traveller,Phrase
Search - Outstation Routes,Route - Belgaum,airport,Phrase
Search - Outstation Routes,Route - Belgaum,tempo traveller,Phrase
Search - Airport,Airport Taxi HBX,to goa,Phrase
Search - Airport,Airport Taxi HBX,to bangalore,Phrase
Search - Airport,Airport Taxi HBX,tempo traveller,Phrase
Search - Vehicles,Tempo Traveller & Group,airport,Phrase
