Campaign,Negative Keyword,Match Type
Search - Core Local,self drive,Phrase
Search - Core Local,self driven,Phrase
Search - Core Local,self driving,Phrase
Search - Core Local,without driver,Phrase
Search - Core Local,self car,Phrase
Search - Core Local,self rental,Phrase
Search - Core Local,rapido,Phrase
Search - Core Local,ola,Phrase
Search - Core Local,uber,Phrase
Search - Core Local,zoom car,Phrase
Search - Core Local,zoomcar,Phrase
Search - Core Local,namma yatri,Phrase
Search - Core Local,blusmart,Phrase
Search - Core Local,red taxi,Phrase
Search - Core Local,bharat taxi,Phrase
Search - Core Local,bharath taxi,Phrase
Search - Core Local,taxisafar,Phrase
Search - Core Local,job,Phrase
Search - Core Local,salary,Phrase
Search - Core Local,vacancy,Phrase
Search - Core Local,hiring,Phrase
Search - Core Local,olx,Phrase
Search - Core Local,second hand,Phrase
Search - Core Local,used car,Phrase
Search - Core Local,car sale,Phrase
Search - Core Local,driving school,Phrase
Search - Core Local,car wash,Phrase
Search - Core Local,car service,Phrase
Search - Core Local,car repair,Phrase
Search - Core Local,car servicing,Phrase
Search - Core Local,insurance,Phrase
Search - Core Local,loan,Phrase
Search - Core Local,car rental rishikesh,Exact
Search - Core Local,hassan cab service,Exact
Search - Core Local,guwahati to tezpur car fare,Exact
Search - Core Local,car service in hubli,Exact
Search - Core Local,hubli car service,Exact
Search - Core Local,bangalore to hubli,Exact
Search - Airport,self drive,Phrase
Search - Airport,self driven,Phrase
Search - Airport,self driving,Phrase
Search - Airport,without driver,Phrase
Search - Airport,self car,Phrase
Search - Airport,self rental,Phrase
Search - Airport,rapido,Phrase
Search - Airport,ola,Phrase
Search - Airport,uber,Phrase
Search - Airport,zoom car,Phrase
Search - Airport,zoomcar,Phrase
Search - Airport,namma yatri,Phrase
Search - Airport,blusmart,Phrase
Search - Airport,red taxi,Phrase
Search - Airport,bharat taxi,Phrase
Search - Airport,bharath taxi,Phrase
Search - Airport,taxisafar,Phrase
Search - Airport,job,Phrase
Search - Airport,salary,Phrase
Search - Airport,vacancy,Phrase
Search - Airport,hiring,Phrase
Search - Airport,olx,Phrase
Search - Airport,second hand,Phrase
Search - Airport,used car,Phrase
Search - Airport,car sale,Phrase
Search - Airport,driving school,Phrase
Search - Airport,car wash,Phrase
Search - Airport,car service,Phrase
Search - Airport,car repair,Phrase
Search - Airport,car servicing,Phrase
Search - Airport,insurance,Phrase
Search - Airport,loan,Phrase
Search - Airport,car rental rishikesh,Exact
Search - Airport,hassan cab service,Exact
Search - Airport,guwahati to tezpur car fare,Exact
Search - Airport,car service in hubli,Exact
Search - Airport,hubli car service,Exact
Search - Airport,bangalore to hubli,Exact
Search - Outstation Routes,self drive,Phrase
Search - Outstation Routes,self driven,Phrase
Search - Outstation Routes,self driving,Phrase
Search - Outstation Routes,without driver,Phrase
Search - Outstation Routes,self car,Phrase
Search - Outstation Routes,self rental,Phrase
Search - Outstation Routes,rapido,Phrase
Search - Outstation Routes,ola,Phrase
Search - Outstation Routes,uber,Phrase
Search - Outstation Routes,zoom car,Phrase
Search - Outstation Routes,zoomcar,Phrase
Search - Outstation Routes,namma yatri,Phrase
Search - Outstation Routes,blusmart,Phrase
Search - Outstation Routes,red taxi,Phrase
Search - Outstation Routes,bharat taxi,Phrase
Search - Outstation Routes,bharath taxi,Phrase
Search - Outstation Routes,taxisafar,Phrase
Search - Outstation Routes,job,Phrase
Search - Outstation Routes,salary,Phrase
Search - Outstation Routes,vacancy,Phrase
Search - Outstation Routes,hiring,Phrase
Search - Outstation Routes,olx,Phrase
Search - Outstation Routes,second hand,Phrase
Search - Outstation Routes,used car,Phrase
Search - Outstation Routes,car sale,Phrase
Search - Outstation Routes,driving school,Phrase
Search - Outstation Routes,car wash,Phrase
Search - Outstation Routes,car service,Phrase
Search - Outstation Routes,car repair,Phrase
Search - Outstation Routes,car servicing,Phrase
Search - Outstation Routes,insurance,Phrase
Search - Outstation Routes,loan,Phrase
Search - Outstation Routes,car rental rishikesh,Exact
Search - Outstation Routes,hassan cab service,Exact
Search - Outstation Routes,guwahati to tezpur car fare,Exact
Search - Outstation Routes,car service in hubli,Exact
Search - Outstation Routes,hubli car service,Exact
Search - Outstation Routes,bangalore to hubli,Exact
Search - Vehicles,self drive,Phrase
Search - Vehicles,self driven,Phrase
Search - Vehicles,self driving,Phrase
Search - Vehicles,without driver,Phrase
Search - Vehicles,self car,Phrase
Search - Vehicles,self rental,Phrase
Search - Vehicles,rapido,Phrase
Search - Vehicles,ola,Phrase
Search - Vehicles,uber,Phrase
Search - Vehicles,zoom car,Phrase
Search - Vehicles,zoomcar,Phrase
Search - Vehicles,namma yatri,Phrase
Search - Vehicles,blusmart,Phrase
Search - Vehicles,red taxi,Phrase
Search - Vehicles,bharat taxi,Phrase
Search - Vehicles,bharath taxi,Phrase
Search - Vehicles,taxisafar,Phrase
Search - Vehicles,job,Phrase
Search - Vehicles,salary,Phrase
Search - Vehicles,vacancy,Phrase
Search - Vehicles,hiring,Phrase
Search - Vehicles,olx,Phrase
Search - Vehicles,second hand,Phrase
Search - Vehicles,used car,Phrase
Search - Vehicles,car sale,Phrase
Search - Vehicles,driving school,Phrase
Search - Vehicles,car wash,Phrase
Search - Vehicles,car service,Phrase
Search - Vehicles,car repair,Phrase
Search - Vehicles,car servicing,Phrase
Search - Vehicles,insurance,Phrase
Search - Vehicles,loan,Phrase
Search - Vehicles,car rental rishikesh,Exact
Search - Vehicles,hassan cab service,Exact
Search - Vehicles,guwahati to tezpur car fare,Exact
Search - Vehicles,car service in hubli,Exact
Search - Vehicles,hubli car service,Exact
Search - Vehicles,bangalore to hubli,Exact
