search_term,normalized,impressions,clicks,cost,conversions,conv_value,ctr,cpc,cvr,cpa,intent,modifier_type,cluster,route,serp_intent_match,action
car rental in hubli | car rentals in hubli,car rental in hubli,2720,214,4820.6,11.65,,0.0787,22.53,0.0544,413.79,transactional,none,core-local,,/ (homepage),scale-paid
taxi service in hubli | taxi services in hubli,taxi service in hubli,2423,102,2242.17,5.0,,0.0421,21.98,0.049,448.43,transactional,none,core-local,,/ (homepage),scale-paid
car for rent hubli,car for rent hubli,97,17,433.51,3.0,,0.1753,25.5,0.1765,144.5,transactional,none,core-local,,/ (homepage),scale-paid
tt travels in hubli,tt travels in hubli,24,2,39.88,2.5,,0.0833,19.94,1.25,15.95,navigational,brand,competitor,,NONE (paid-only decision),scale-paid
taxi service in hubli airport,taxi service in hubli airport,144,8,141.38,2.01,,0.0556,17.67,0.2512,70.34,transactional,service,airport,,MISSING PAGE -> /services/airport-taxi-hubli/,both
car rental hubli | car rentals hubli,car rental hubli,883,107,1951.31,2.0,,0.1212,18.24,0.0187,975.65,transactional,none,core-local,,/ (homepage),scale-paid
rental car in hubli | rental cars in hubli,rental car in hubli,537,75,1386.1,2.0,,0.1397,18.48,0.0267,693.05,transactional,none,core-local,,/ (homepage),scale-paid
car rent hubli,car rent hubli,316,42,849.15,2.0,,0.1329,20.22,0.0476,424.58,transactional,none,core-local,,/ (homepage),scale-paid
cab service in hubli | cab services in hubli,cab service in hubli,2157,81,1510.35,1.33,,0.0376,18.65,0.0164,1135.6,transactional,none,core-local,,/ (homepage),scale-paid
hubli car rental | hubli car rentals,hubli car rental,612,58,1038.68,1.0,,0.0948,17.91,0.0172,1038.68,transactional,none,core-local,,/ (homepage),scale-paid
rent car in hubli | rent cars in hubli,rent car in hubli,170,36,712.65,1.0,,0.2118,19.8,0.0278,712.65,transactional,none,core-local,,/ (homepage),scale-paid
rent car hubli,rent car hubli,248,31,632.21,1.0,,0.125,20.39,0.0323,632.21,transactional,none,core-local,,/ (homepage),scale-paid
hubli taxi service | hubli taxi services,hubli taxi service,524,27,546.15,1.0,,0.0515,20.23,0.037,546.15,transactional,none,core-local,,/ (homepage),scale-paid
cab in hubli | cabs in hubli,cab in hubli,379,30,530.93,1.0,,0.0792,17.7,0.0333,530.93,transactional,none,core-local,,/ (homepage),scale-paid
cab service hubli,cab service hubli,275,16,297.7,1.0,,0.0582,18.61,0.0625,297.7,transactional,none,core-local,,/ (homepage),scale-paid
hubli car travels,hubli car travels,34,8,150.07,1.0,,0.2353,18.76,0.125,150.07,transactional,none,travels-local,,/ (homepage),scale-paid
hubli travels car,hubli travels car,42,4,94.7,1.0,,0.0952,23.68,0.25,94.7,transactional,none,travels-local,,/ (homepage),scale-paid
hubli car rent,hubli car rent,43,5,88.97,1.0,,0.1163,17.79,0.2,88.97,transactional,none,core-local,,/ (homepage),scale-paid
hubli airport taxi service,hubli airport taxi service,33,3,61.77,1.0,,0.0909,20.59,0.3333,61.77,transactional,service,airport,,MISSING PAGE -> /services/airport-taxi-hubli/,both
hubli to belgaum cab,hubli to belgaum cab,3,1,24.78,1.0,,0.3333,24.78,1.0,24.78,transactional,geo,route-belgaum,hubli->belgaum,MISSING PAGE -> /routes/hubli-to-belgaum-taxi/,both
hubli to bangalore cab price,hubli to bangalore cab price,6,1,19.6,1.0,,0.1667,19.6,1.0,19.6,transactional,geo,route-bangalore,hubli->bangalore,MISSING PAGE -> /routes/hubli-to-bangalore-taxi/,both
force urbania for rent in hubli,force urbania for rent in hubli,19,4,99.83,0.5,,0.2105,24.96,0.125,199.66,transactional,vehicle,vehicle-force-urbania,,MISSING PAGE -> /vehicles/force-urbania-hubli/,both
best taxi service in hubli,best taxi service in hubli,231,10,169.41,0.02,,0.0433,16.94,0.002,8470.5,transactional,none,core-local,,/ (homepage),scale-paid
rental car hubli | rental cars hubli,rental car hubli,249,38,780.39,0.0,,0.1526,20.54,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
car for rent in hubli | cars for rent in hubli,car for rent in hubli,125,24,452.18,0.0,,0.192,18.84,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
car rental in hubli with driver,car rental in hubli with driver,166,23,434.25,0.0,,0.1386,18.88,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
hubli rental cars,hubli rental car,108,17,357.76,0.0,,0.1574,21.04,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
car booking hubli,car booking hubli,94,13,330.82,0.0,,0.1383,25.45,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
car travels in hubli,car travels in hubli,146,12,292.99,0.0,,0.0822,24.42,0.0,0,transactional,none,travels-local,,/ (homepage),scale-paid
rent a car hubli,rent a car hubli,109,15,287.0,0.0,,0.1376,19.13,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
car rent in hubli,car rent in hubli,139,16,277.47,0.0,,0.1151,17.34,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
rapido in hubli,rapido in hubli,455,12,233.31,0.0,,0.0264,19.44,0.0,0,navigational,brand,competitor,,NONE (paid-only decision),negative-keyword
cab booking hubli,cab booking hubli,108,11,230.19,0.0,,0.1019,20.93,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
taxi in hubli,taxi in hubli,294,11,220.37,0.0,,0.0374,20.03,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
taxi service hubli,taxi service hubli,301,12,217.42,0.0,,0.0399,18.12,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
hubli cab service | hubli cab services,hubli cab service,256,13,210.09,0.0,,0.0508,16.16,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
best car rental in hubli,best car rental in hubli,256,12,208.0,0.0,,0.0469,17.33,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
rent a car in hubli,rent a car in hubli,34,12,201.65,0.0,,0.3529,16.8,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
rapido hubli,rapido hubli,103,8,180.91,0.0,,0.0777,22.61,0.0,0,navigational,brand,competitor,,NONE (paid-only decision),negative-keyword
rental cars in hubli without driver,rental car in hubli without driver,37,8,162.05,0.0,,0.2162,20.26,0.0,0,irrelevant,service,self-drive,,NONE (service not offered),negative-keyword
hubli car rental service,hubli car rental service,93,7,156.48,0.0,,0.0753,22.35,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
car rental with driver,car rental with driver,2,1,145.29,0.0,,0.5,145.29,0.0,0,transactional,none,core-generic,,/ (homepage),ignore
car rental in dharwad | car rentals in dharwad,car rental in dharwad,49,7,142.42,0.0,,0.1429,20.35,0.0,0,transactional,none,core-local,,/ (homepage),scale-paid
