Search term	Match type	Added/Excluded	Campaign	Ad group	Clicks	Impr.	CTR	Currency code	Avg. CPC	Cost	Campaign type	Conv. rate	Conversions	Cost / conv.
car for rent in hubli	Exact match (close variant)	None	03/22/2026 New Campaign	Ad group 1	5	30	16.67%	INR	14.34	71.70	Search	0.00%	0.00	0.00
sai cabs hubli taxi service in hubli	Phrase match	None	03/22/2026 New Campaign	Ad group 1	0	1	0.00%	INR	0	0.00	Search	0.00%	0.00	0.00
hubli to kapda	Broad match	None	Campaign #1	Ad group 1	0	1	0.00%	INR	0	0.00	Search	0.00%	0.00	0.00
bharath taxi	Phrase match (close variant)	None	Campaign #1	Ad group 1	0	4	0.00%	INR	0	0.00	Search	0.00%	0.00	0.00
zoom car rentals	Broad match	None	Campaign #1	Ad group 1	0	1	0.00%	INR	0	0.00	Search	0.00%	0.00	0.00
best travel agency in hubli	Broad match	None	Campaign #1	Ad group 1	0	1	0.00%	INR	0	0.00	Search	0.00%	0.00	0.00
hubli car rental outstation	Exact match (close variant)	None	New Campaign 05/03	Car Rental With Driver	0	3	0.00%	INR	0	0.00	Search	0.00%	0.00	0.00
sai cabs hubli taxi service in hubli	Phrase match	None	LEADS 11/04	Ad group 1	0	3	0.00%	INR	0	0.00	Search	0.00%	0.00	0.00
trishika car rental hubli	Phrase match	None	LEADS 11/04	Ad group 1	2	6	33.33%	INR	12.56	25.12	Search	0.00%	0.00	0.00
hubli to gokarna cab price	Phrase match (close variant)	None	LEADS 11/04	Ad group 1	0	2	0.00%	INR	0	0.00	Search	0.00%	0.00	0.00
shiva cabs hubli	Phrase match (close variant)	None	03/22/2026 New Campaign	Ad group 1	0	3	0.00%	INR	0	0.00	Search	0.00%	0.00	0.00
rental cars hubli	Exact match (close variant)	None	03/22/2026 New Campaign	Ad group 1	6	63	9.52%	INR	17.13	102.78	Search	0.00%	0.00	0.00
dharwad to hubli airport taxi	Phrase match	None	03/22/2026 New Campaign	Ad group 1	0	1	0.00%	INR	0	0.00	Search	0.00%	0.00	0.00
self drive car rental hubli	Exact match (close variant)	None	Campaign #1	Ad group 1	0	3	0.00%	INR	0	0.00	Search	0.00%	0.00	0.00
hubli cab services	Broad match	None	Campaign #1	Ad group 1	0	1	0.00%	INR	0	0.00	Search	0.00%	0.00	0.00
